SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,24371,24352,17,2,0,8,8,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
601,TG,Telangana,TG_Sangareddy,Sangareddy,8061,8055,6,0,0,4,4,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
602,TG,Telangana,TG_Siddipet,Siddipet,7971,7970,1,0,0,3,3,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
603,TG,Telangana,TG_Suryapet,Suryapet,7084,7060,24,0,0,4,4,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
604,TG,Telangana,TG_Vikarabad,Vikarabad,2593,2577,15,1,0,3,3,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,3559,3559,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,3798,3798,0,0,0,2,2,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,11901,11878,23,0,0,8,8,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,4051,4051,0,0,0,3,3,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
0,TN,Tamil Nadu,TN_Railway Quarantine,Railway Quarantine,428,0,428,0,0,0,0,0,0,,
0,TN,Tamil Nadu,TN_Airport Quarantine,Airport Quarantine,1982,4,1976,2,0,0,-2,2,0,,
0,TN,Tamil Nadu,TN_Other State,Other State,0,-3,0,3,0,0,0,0,0,,
544,TN,Tamil Nadu,TN_Ariyalur,Ariyalur,4709,15,4645,49,0,1,-3,4,0,,
732,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,51875,256,50848,771,0,35,-14,48,1,,
545,TN,Tamil Nadu,TN_Chennai,Chennai,232603,1553,226935,4115,0,139,-1,138,2,[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.,
546,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,54905,458,53773,674,0,54,3,51,0,,
547,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,25012,68,24657,287,0,1,-10,11,0,,
548,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,6610,25,6531,54,0,8,4,4,0,,
549,TN,Tamil Nadu,TN_Dindigul,Dindigul,11315,52,11064,199,0,6,-7,13,0,,
550,TN,Tamil Nadu,TN_Erode,Erode,14551,190,14211,150,0,25,7,18,0,,
734,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,10891,12,10771,108,0,4,3,1,0,,
551,TN,Tamil Nadu,TN_Kancheepuram,Kancheepuram,29342,107,28795,440,0,14,4,10,0,,
552,TN,Tamil Nadu,TN_Kanyakumari,Kanyakumari,16924,89,16576,259,0,11,-2,13,0,,
553,TN,Tamil Nadu,TN_Karur,Karur,5434,34,5350,50,0,6,2,4,0,,
554,TN,Tamil Nadu,TN_Krishnagiri,Krishnagiri,8099,21,7961,117,0,1,-4,5,0,,
555,TN,Tamil Nadu,TN_Madurai,Madurai,21093,85,20549,459,0,4,-5,9,0,,
556,TN,Tamil Nadu,TN_Nagapattinam,Nagapattinam,8502,52,8317,133,0,9,5,4,0,,
557,TN,Tamil Nadu,TN_Namakkal,Namakkal,11709,77,11521,111,0,10,-2,12,0,,
564,TN,Tamil Nadu,TN_Nilgiris,Nilgiris,8255,45,8163,47,0,7,5,2,0,,
558,TN,Tamil Nadu,TN_Perambalur,Perambalur,2271,5,2245,21,0,0,0,0,0,,
559,TN,Tamil Nadu,TN_Pudukkottai,Pudukkottai,11588,24,11408,156,0,5,-1,6,0,,
560,TN,Tamil Nadu,TN_Ramanathapuram,Ramanathapuram,6426,9,6280,137,0,0,-1,1,0,,
733,TN,Tamil Nadu,TN_Ranipet,Ranipet,16153,30,15935,188,0,3,1,2,0,,
561,TN,Tamil Nadu,TN_Salem,Salem,32528,97,31965,466,0,17,6,11,0,,
562,TN,Tamil Nadu,TN_Sivaganga,Sivaganga,6679,19,6534,126,0,-1,-2,1,0,,
731,TN,Tamil Nadu,TN_Tenkasi,Tenkasi,8455,28,8268,159,0,6,0,6,0,,
563,TN,Tamil Nadu,TN_Thanjavur,Thanjavur,17830,149,17433,248,0,12,0,12,0,,
565,TN,Tamil Nadu,TN_Theni,Theni,17111,32,16874,205,0,3,0,3,0,,
566,TN,Tamil Nadu,TN_Thiruvallur,Thiruvallur,43771,240,42839,692,0,36,21,14,1,,
567,TN,Tamil Nadu,TN_Thiruvarur,Thiruvarur,11244,44,11091,109,0,2,-6,8,0,,
568,TN,Tamil Nadu,TN_Thoothukkudi,Thoothukkudi,16296,15,16140,141,0,4,3,1,0,,
569,TN,Tamil Nadu,TN_Tiruchirappalli,Tiruchirappalli,14797,111,14506,180,0,12,2,10,0,,
570,TN,Tamil Nadu,TN_Tirunelveli,Tirunelveli,15637,61,15362,214,0,7,3,4,0,,
735,TN,Tamil Nadu,TN_Tirupathur,Tirupathur,7602,23,7453,126,0,3,-1,4,0,,
571,TN,Tamil Nadu,TN_Tiruppur,Tiruppur,18058,138,17699,221,0,9,-18,27,0,,
572,TN,Tamil Nadu,TN_Tiruvannamalai,Tiruvannamalai,19402,38,19081,283,0,5,-1,6,0,,
573,TN,Tamil Nadu,TN_Vellore,Vellore,20826,72,20406,348,0,5,-9,14,0,,
574,TN,Tamil Nadu,TN_Viluppuram,Viluppuram,15215,26,15077,112,0,5,-2,7,0,,
575,TN,Tamil Nadu,TN_Virudhunagar,Virudhunagar,16602,27,16344,231,0,1,-4,5,0,,
609,TR,Tripura,TR_Dhalai,Dhalai,3473,0,3454,18,1,0,0,0,0,,
610,TR,Tripura,TR_Gomati,Gomati,3930,1,3884,44,1,0,0,0,0,,
611,TR,Tripura,TR_Khowai,Khowai,1843,3,1809,31,0,1,1,0,0,,
612,TR,Tripura,TR_North Tripura,North Tripura,2759,0,2736,16,7,0,0,0,0,,
613,TR,Tripura,TR_Sipahijala,Sipahijala,2881,0,2842,39,0,0,0,0,0,,
614,TR,Tripura,TR_South Tripura,South Tripura,4056,1,4029,23,3,0,0,0,0,,
615,TR,Tripura,TR_Unokoti,Unokoti,2767,0,2744,23,0,0,0,0,0,,
616,TR,Tripura,TR_West Tripura,West Tripura,11641,2,11434,194,11,0,-2,2,0,,
617,UP,Uttar Pradesh,UP_Agra,Agra,10507,27,10308,172,0,1,-4,5,0,,
618,UP,Uttar Pradesh,UP_Aligarh,Aligarh,11424,26,11342,56,0,0,-7,7,0,,
619,UP,Uttar Pradesh,UP_Ambedkar Nagar,Ambedkar Nagar,1913,36,1833,44,0,0,0,0,0,,
620,UP,Uttar Pradesh,UP_Amethi,Amethi,3749,23,3687,39,0,0,0,0,0,,
621,UP,Uttar Pradesh,UP_Amroha,Amroha,4329,24,4255,50,0,3,2,1,0,,
622,UP,Uttar Pradesh,UP_Auraiya,Auraiya,3532,31,3454,47,0,0,0,0,0,,
765,UP,Uttar Pradesh,UP_Ayodhya,Ayodhya,8154,27,8003,124,0,1,1,0,0,,
623,UP,Uttar Pradesh,UP_Azamgarh,Azamgarh,6044,21,5927,96,0,0,-2,2,0,,
624,UP,Uttar Pradesh,UP_Baghpat,Baghpat,2329,2,2291,36,0,0,0,0,0,,
625,UP,Uttar Pradesh,UP_Bahraich,Bahraich,4134,19,4039,76,0,0,0,0,0,,
626,UP,Uttar Pradesh,UP_Ballia,Ballia,7898,126,7666,106,0,2,2,0,0,,
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,2204,40,2128,36,0,0,-1,1,0,,
628,UP,Uttar Pradesh,UP_Banda,Banda,3865,14,3808,43,0,1,0,1,0,,
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,7813,15,7696,102,0,0,0,0,0,,
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,14612,84,14363,165,0,0,-20,20,0,,
631,UP,Uttar Pradesh,UP_Basti,Basti,5300,68,5133,99,0,4,3,1,0,,
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,2249,36,2190,23,0,0,-2,2,0,,
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,4411,15,4332,64,0,1,-6,7,0,,
634,UP,Uttar Pradesh,UP_Budaun,Budaun,4056,14,3997,45,0,6,4,2,0,,
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,6281,28,6160,93,0,3,0,3,0,,
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,4868,18,4784,66,0,1,1,0,0,,
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,2189,2,2172,15,0,0,0,0,0,,
638,UP,Uttar Pradesh,UP_Deoria,Deoria,6761,72,6594,95,0,1,1,0,0,,
639,UP,Uttar Pradesh,UP_Etah,Etah,2533,15,2491,27,0,0,0,0,0,,
640,UP,Uttar Pradesh,UP_Etawah,Etawah,5761,47,5608,106,0,0,-5,5,0,,
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,4706,4,4614,88,0,-1,-5,5,-1,,
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,3832,77,3687,68,0,1,1,0,0,,
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,3877,11,3798,68,0,0,0,0,0,,
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,25404,41,25272,91,0,2,0,2,0,,
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,26632,59,26471,102,0,4,-9,13,0,,
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,5252,19,5141,92,0,1,0,1,0,,
648,UP,Uttar Pradesh,UP_Gonda,Gonda,5065,23,4972,70,0,1,0,1,0,,
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,21432,76,20996,360,0,4,3,1,0,,
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,1580,2,1557,21,0,0,0,0,0,,
651,UP,Uttar Pradesh,UP_Hapur,Hapur,4387,13,4306,68,0,2,2,0,0,,
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,5935,76,5750,109,0,1,-3,4,0,,
653,UP,Uttar Pradesh,UP_Hathras,Hathras,1313,5,1301,7,0,4,3,1,0,,
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,3986,34,3905,47,0,0,0,0,0,,
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,6713,16,6598,99,0,1,-1,2,0,,
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,10431,42,10211,178,0,0,-3,3,0,,
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,3502,7,3446,49,0,0,0,0,0,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,2127,20,2071,36,0,0,0,0,0,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,32924,75,32011,838,0,12,3,9,0,,
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,1963,0,1957,6,0,-1,-1,0,0,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,2266,2,2237,27,0,0,0,0,0,,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,5703,56,5585,62,0,0,-1,1,0,,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,7659,26,7535,98,0,0,0,0,0,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,3461,26,3388,47,0,2,1,1,0,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,81572,380,80009,1183,0,11,-23,34,0,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,5809,9,5709,91,0,0,0,0,0,,
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,1476,2,1462,12,0,0,0,0,0,,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,3830,19,3735,76,0,2,2,0,0,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,6819,16,6691,112,0,-1,-3,1,1,,
670,UP,Uttar Pradesh,UP_Mau,Mau,3065,10,3016,39,0,1,-1,2,0,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,22313,364,21511,438,0,0,-17,17,0,,
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,3451,15,3390,46,0,1,0,1,0,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,11876,62,11631,183,0,3,1,2,0,,
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,8860,58,8691,111,0,6,-15,21,0,,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,4200,10,4109,81,0,1,0,1,0,,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,5410,14,5323,73,0,0,0,0,0,,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,29161,107,28647,407,0,2,-6,8,0,,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,5540,30,5399,111,0,3,-3,6,0,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,5518,42,5418,58,0,0,-1,1,0,,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,10093,36,9922,135,0,-1,-8,7,0,,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,3207,143,3019,45,0,0,0,0,0,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,3408,11,3353,44,0,0,-1,1,0,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,6946,21,6812,113,0,3,3,0,0,,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,3659,17,3611,31,0,0,-3,3,0,,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,1365,1,1346,18,0,0,-1,1,0,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,4087,17,4017,53,0,0,0,0,0,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,4833,8,4744,81,0,1,1,0,0,,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,4997,90,4832,75,0,6,4,2,0,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,4987,78,4832,77,0,2,-21,23,0,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,4554,120,4348,86,0,2,1,1,0,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,23460,86,22918,456,0,8,-2,10,0,,
692,UT,Uttarakhand,UT_Almora,Almora,3256,97,3018,25,116,0,0,0,0,,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,1540,87,1436,17,0,0,-21,21,0,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,3472,21,3352,15,84,7,7,0,0,,
695,UT,Uttarakhand,UT_Champawat,Champawat,1818,14,1721,9,74,0,0,0,0,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,29505,93,28026,953,433,18,-1,17,2,,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,14053,125,13605,157,166,3,-8,11,0,,
698,UT,Uttarakhand,UT_Nainital,Nainital,12634,119,12212,232,71,17,2,15,0,,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,5156,30,5043,59,24,0,0,0,0,,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,3355,70,3239,46,0,0,-2,2,0,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,2269,20,2233,10,6,0,0,0,0,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,4227,25,4029,16,157,0,-1,1,0,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,11513,71,11209,117,116,9,9,0,0,,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,3792,18,3640,17,117,0,0,0,0,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,7702,20,7596,86,0,1,-1,2,0,,
706,WB,West Bengal,WB_Bankura,Bankura,11885,119,11674,92,0,4,-7,11,0,,
707,WB,West Bengal,WB_Birbhum,Birbhum,10002,133,9780,89,0,7,2,5,0,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,11825,52,11701,72,0,1,-2,3,0,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,8168,41,8053,74,0,1,0,1,0,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,18365,137,18025,203,0,9,0,9,0,,
711,WB,West Bengal,WB_Hooghly,Hooghly,29505,143,28867,495,0,9,-6,15,0,,
712,WB,West Bengal,WB_Howrah,Howrah,35607,133,34430,1044,0,11,-10,20,1,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,14659,103,14394,162,0,1,-3,4,0,,
714,WB,West Bengal,WB_Jhargram,Jhargram,3041,28,2991,22,0,0,-2,2,0,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,2229,30,2173,26,0,0,-1,1,0,,
716,WB,West Bengal,WB_Kolkata,Kolkata,128261,1124,124054,3083,0,48,-6,52,2,,
717,WB,West Bengal,WB_Malda,Malda,12665,67,12484,114,0,1,-5,6,0,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,12275,91,12035,149,0,2,-6,8,0,,
720,WB,West Bengal,WB_Nadia,Nadia,22569,147,22104,318,0,5,-6,10,1,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,122199,1026,118682,2491,0,29,-45,72,2,,
0,WB,West Bengal,WB_Other State,Other State,66,0,63,3,0,0,0,0,0,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,16265,289,15808,168,0,5,-9,14,0,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,20188,99,19780,309,0,1,-6,7,0,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,12636,71,12465,100,0,1,-4,5,0,,
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,20634,185,20170,279,0,2,-8,10,0,,
725,WB,West Bengal,WB_Purulia,Purulia,7199,111,7040,48,0,2,-3,5,0,,
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,37048,251,36084,713,0,4,-7,11,0,,
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,6643,96,6472,75,0,2,-1,3,0,,
728,AN,Andaman and Nicobar Islands,AN_Unknown,Unknown,4953,-8,4899,62,0,0,0,0,0,,
729,AP,Andhra Pradesh,AP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
730,AR,Arunachal Pradesh,AR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
731,AS,Assam,AS_Unknown,Unknown,102285,-67902,168550,290,1347,0,0,0,0,,
732,BR,Bihar,BR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
733,CH,Chandigarh,CH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
734,CT,Chhattisgarh,CT_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
735,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
737,DL,Delhi,DL_Unknown,Unknown,635472,265,624326,10881,0,0,0,0,0,,
738,GA,Goa,GA_Unknown,Unknown,47617,-2934,49969,582,0,0,0,0,0,,
739,GJ,Gujarat,GJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
740,HR,Haryana,HR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
741,HP,Himachal Pradesh,HP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
742,JK,Jammu and Kashmir,JK_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
743,JH,Jharkhand,JH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
744,KA,Karnataka,KA_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
745,KL,Kerala,KL_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
746,LA,Ladakh,LA_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
747,LD,Lakshadweep,LD_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
748,MP,Madhya Pradesh,MP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
749,MH,Maharashtra,MH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
750,MN,Manipur,MN_Unknown,Unknown,1412,-25394,26745,61,0,0,0,0,0,,
751,ML,Meghalaya,ML_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
752,MZ,Mizoram,MZ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
753,NL,Nagaland,NL_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
754,OR,Odisha,OR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
755,PY,Puducherry,PY_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
756,PB,Punjab,PB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
757,RJ,Rajasthan,RJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
758,SK,Sikkim,SK_Unknown,Unknown,3883,-962,4618,132,95,0,0,0,0,,
759,TN,Tamil Nadu,TN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
760,TG,Telangana,TG_Unknown,Unknown,496,-292950,291864,1582,0,0,0,0,0,,
761,TR,Tripura,TR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
762,UP,Uttar Pradesh,UP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
763,UT,Uttarakhand,UT_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
764,WB,West Bengal,WB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
